CustId,TransId,Item
1,1,127
1,1,1176
1,1,1405
1,1,1502
1,1,1635
1,1,1901
1,1,1940
1,1,1989
1,1,2155
1,1,2296
1,1,2341
1,1,2522
2,2,161
2,2,903
2,2,1529
2,2,2193
3,3,981
3,3,1382
3,3,1541
3,3,1586
3,3,1716
3,3,1756
3,3,1784
3,3,1871
4,4,81
4,4,118
4,4,137
4,4,520
4,4,930
4,4,1018
4,4,1222
4,4,1276
4,4,1286
4,4,1588
4,4,1610
4,4,1627
4,4,2276
4,4,2343
4,4,2445
4,4,2593
4,4,2669
4,4,2685
4,4,2910
5,5,248
5,5,351
5,5,926
5,5,1160
5,5,1882
5,5,2864
5,5,2878
5,5,2973
6,6,178
6,6,344
6,6,431
6,6,545
6,6,1296
6,6,1899
6,6,2112
6,6,2440
6,6,2705
7,7,446
7,7,601
7,7,666
7,7,1208
7,7,1247
7,7,1252
7,7,1325
7,7,1354
7,7,1668
7,7,2430
7,7,2518
7,7,2561
8,8,154
8,8,192
8,8,281
8,8,490
8,8,994
8,8,1129
8,8,1170
8,8,1341
8,8,1681
8,8,1890
8,8,2070
8,8,2887
9,9,116
9,9,168
9,9,266
9,9,1119
9,9,1159
9,9,1374
9,9,2274
9,9,2527
10,10,21
10,10,148
10,10,169
10,10,377
10,10,1094
10,10,1648
10,10,1716
10,10,1756
10,10,1882
10,10,2247
10,10,2589
10,10,2593
10,10,2628
10,10,2849
11,11,14
11,11,88
11,11,320
11,11,330
11,11,425
11,11,571
11,11,625
11,11,692
11,11,827
11,11,1384
11,11,1826
12,12,338
12,12,1053
12,12,1289
12,12,1787
13,13,409
13,13,2227
13,13,2932
13,13,2937
13,13,2945
14,14,119
14,14,538
14,14,553
14,14,558
14,14,669
14,14,877
14,14,1126
14,14,1479
14,14,1762
14,14,2209
14,14,2315
14,14,2391
14,14,2534
14,14,2537
15,15,68
15,15,337
15,15,344
15,15,402
15,15,444
15,15,553
15,15,583
15,15,592
15,15,1740
15,15,1795
15,15,1797
15,15,1801
15,15,2026
15,15,2194
15,15,2449
15,15,2533
15,15,2732
15,15,2798
16,16,371
16,16,404
16,16,1126
16,16,1232
16,16,1688
16,16,1837
16,16,2302
17,17,5
17,17,336
17,17,631
17,17,1651
17,17,2060
17,17,2385
17,17,2397
17,17,2745
18,18,93
18,18,138
18,18,508
18,18,744
18,18,852
18,18,1113
18,18,1202
18,18,1233
18,18,1349
18,18,1593
18,18,1733
18,18,2020
19,19,38
19,19,140
19,19,1406
19,19,2297
19,19,2557
19,19,2858
19,19,2889
20,20,998
20,20,1354
20,20,1372
20,20,2089
20,20,2222
20,20,2799
21,21,63
21,21,806
21,21,2382
21,21,2910
22,22,17
22,22,518
22,22,773
22,22,1119
22,22,1273
22,22,1940
22,22,2208
22,22,2231
22,22,2825
22,22,2882
23,23,83
23,23,389
23,23,1224
23,23,1462
23,23,1697
23,23,2201
23,23,2428
23,23,2611
23,23,2702
23,23,2726
23,23,2947
24,24,35
24,24,455
24,24,592
24,24,837
24,24,871
24,24,1247
24,24,1324
24,24,1409
24,24,1412
24,24,1499
24,24,2060
24,24,2449
24,24,2511
24,24,2531
25,25,480
25,25,855
25,25,1014
25,25,1317
25,25,1372
25,25,1461
25,25,1727
25,25,2251
25,25,2378
25,25,2504
25,25,2509
25,25,2760
26,26,49
26,26,1015
26,26,1236
26,26,1588
26,26,1706
26,26,1768
26,26,1882
26,26,2611
27,27,108
27,27,127
27,27,938
27,27,1047
27,27,1313
27,27,1486
27,27,1557
27,27,1730
27,27,1840
27,27,1882
27,27,1905
27,27,1964
27,27,2339
27,27,2564
28,28,318
28,28,764
28,28,1664
28,28,1957
28,28,2468
29,29,109
29,29,154
29,29,422
29,29,592
29,29,1036
29,29,1241
29,29,1275
29,29,1559
29,29,1577
29,29,1659
29,29,1982
29,29,2561
29,29,2788
30,30,572
30,30,879
30,30,1864
31,31,29
31,31,150
31,31,209
31,31,219
31,31,500
31,31,769
31,31,1045
31,31,1852
31,31,2512
31,31,2839
32,32,100
32,32,598
32,32,851
32,32,913
32,32,1194
32,32,1276
32,32,1305
32,32,1664
32,32,1794
32,32,1820
32,32,2608
32,32,2923
33,33,52
33,33,682
33,33,806
33,33,1492
33,33,2142
33,33,2168
33,33,2395
34,34,28
34,34,118
34,34,325
